Facultad;Carrera;Día;H_Inicio;H_Salida;Profesor;Semestre;Total Estudiantes;Entrada;Salida;Proyecto
FILO;P MATEMATICA;MARTES;7;9;DOC_04;2223;39;7;15;0
CQ;BIO Y FAR;MARTES;9;11;DOC_04;2223;52;7;15;0
ICA;CIVIL;MIERCOLES;7;9;DOC_04;2223;30;7;15;0
ARQ;ARQUITECTURA;VIERNES;7;9;DOC_04;2223;43;7;15;0
FILO;MECATRONICA;VIERNES;16;18;DOC_05;2223;29;7;15;1
FIGEMPA;GEOLOGIA;MARTES;14;16;DOC_05;2223;27;7;15;1
FIGEMPA;GEOLOGIA;MARTES;16;18;DOC_05;2223;13;7;15;1
ICA;CIVIL;MARTES;18;20;DOC_05;2223;41;7;15;1
CQ;BIO Y FAR;MIERCOLES;13;15;DOC_05;2223;52;7;15;1
ICA;INDUSTRIAL;MIERCOLES;11;13;DOC_05;2223;38;7;15;1
ICA;CIVIL;MARTES;7;9;DOC_12;2223;36;7;15;1
ICA;S INFORMACION;VIERNES;11;13;DOC_12;2223;65;7;15;1
FILO;P MATEMATICA;LUNES;9;11;DOC_13;2223;47;7;15;1
CQ;QUIMICA;VIERNES;7;9;DOC_13;2223;36;7;15;1
ARQ;ARQUITECTURA;JUEVES;7;9;DOC_06;2223;43;7;15;0
AGR;AGRONOMIA;LUNES;11;13;DOC_06;2223;32;7;15;0
ICA;CIVIL;LUNES;7;9;DOC_06;2223;43;7;15;0
CQ;BIO Y FAR;MARTES;11;13;DOC_06;2223;51;7;15;0
ARQ;ARQUITECTURA;MARTES;7;9;DOC_06;2223;28;7;15;0
IQ;I QUIMICA;MARTES;9;11;DOC_06;2223;42;7;15;0
FIGEMPA;MINAS;MIERCOLES;11;13;DOC_06;2223;12;7;15;0
ARQ;ARQUITECTURA;MARTES;7;9;DOC_06;2223;30;7;15;0
ICA;COMPUTACION;JUEVES;14;16;DOC_03;2223;31;10;18;1
AGR;AGRONOMIA;JUEVES;16;18;DOC_03;2223;28;10;18;1
FILO;P MATEMATICA;JUEVES;15;17;DOC_03;2223;41;10;18;1
FIGEMPA;AMBIENTAL;MIERCOLES;14;16;DOC_03;2223;8;10;18;1
CQ;BIO Y FAR;VIERNES;13;15;DOC_03;2223;40;10;18;1
FILO;P MATEMATICA;VIERNES;15;17;DOC_03;2223;35;10;18;1
FILO;P MATEMATICA;LUNES;7;9;DOC_13;2223;28;7;15;1
IQ;I QUIMICA;JUEVES;11;13;DOC_10;2223;27;7;15;1
FILO;MECATRONICA;LUNES;10;12;DOC_10;2223;30;7;15;1
CQ;BIO Y FAR;MIERCOLES;13;15;DOC_10;2223;46;7;15;1
ICA;CIVIL;MIERCOLES;16;18;DOC_10;2223;37;7;15;1
ICA;COMPUTACION;VIERNES;11;13;DOC_10;2223;53;7;15;1
FILO;MECATRONICA;VIERNES;14;16;DOC_10;2223;27;7;15;1
ICA;CIVIL;JUEVES;9;11;DOC_08;2223;44;7;15;1
FILO;P INFORMATICA;LUNES;14;16;DOC_08;2223;24;7;15;1
FILO;P INFORMATICA;LUNES;15;17;DOC_08;2223;20;7;15;1
ICA;CIVIL;MARTES;11;13;DOC_08;2223;47;7;15;1
FILO;P INFORMATICA;MIERCOLES;14;16;DOC_08;2223;24;7;15;1
FILO;P INFORMATICA;MIERCOLES;7;9;DOC_08;2223;19;7;15;1
FILO;P MATEMATICA;LUNES;15;17;DOC_07;2223;40;12;20;0
ICA;CIVIL;MARTES;14;16;DOC_07;2223;42;12;20;0
FIGEMPA;PETROLEOS;MARTES;16;18;DOC_07;2223;11;12;20;0
CQ;BIO Y FAR;MARTES;18;20;DOC_07;2223;60;12;20;0
FILO;P MATEMATICA;MIERCOLES;15;17;DOC_07;2223;31;12;20;0
CIENCIAS;MATEMATICA;VIERNES;12;14;DOC_07;2223;41;12;20;0
FIGEMPA;MINAS;VIERNES;14;16;DOC_07;2223;13;12;20;0
FIGEMPA;PETROLEOS;VIERNES;7;9;DOC_11;2223;34;7;15;1
IQ;I QUIMICA;MIERCOLES;11;13;DOC_12;2223;38;7;15;1
FIGEMPA;AMBIENTAL;VIERNES;9;11;DOC_12;2223;31;7;15;1
ICA;INDUSTRIAL;JUEVES;16;18;DOC_14;2223;29;12;20;0
ICA;S INFORMACION;LUNES;18;20;DOC_14;2223;48;12;20;0
ICA;INDUSTRIAL;VIERNES;16;18;DOC_14;2223;24;12;20;0
ICA;CIVIL;JUEVES;14;16;DOC_01;2223;36;12;20;0
CQ;QUIMICA;LUNES;18;20;DOC_01;2223;29;12;20;0
CIENCIAS;MATEMATICA;MARTES;14;16;DOC_01;2223;8;12;20;0
FILO;P MATEMATICA;MARTES;16;18;DOC_01;2223;56;12;20;0
CIENCIAS;MATEMATICA;MARTES;18;20;DOC_01;2223;13;12;20;0
FILO;P MATEMATICA;MIERCOLES;15;17;DOC_01;2223;41;12;20;0
FILO;P MATEMATICA;VIERNES;16;18;DOC_01;2223;44;12;20;0
FILO;P MATEMATICA;JUEVES;7;9;DOC_11;2223;41;7;15;1
FILO;MECATRONICA;MARTES;11;13;DOC_13;2223;52;7;15;1
CQ;QUIMICA;JUEVES;7;9;DOC_02;2323;53;7;15;1
ARQ;ARQUITECTURA;LUNES;7;9;DOC_02;2323;37;7;15;1
AGR;AGRONOMIA;LUNES;10;12;DOC_02;2323;35;7;15;1
CQ;QUIMICA;MARTES;7;9;DOC_02;2323;52;7;15;1
FIGEMPA;PETROLEOS;VIERNES;7;9;DOC_02;2323;38;7;15;1
FILO;P MATEMATICA;JUEVES;7;9;DOC_04;2323;65;7;15;0
ARQ;ARQUITECTURA;LUNES;9;11;DOC_04;2323;31;7;15;0
FILO;MECATRONICA;LUNES;11;13;DOC_04;2323;35;7;15;0
CIENCIAS;MATEMATICA;MARTES;9;11;DOC_04;2323;20;7;15;0
CQ;BIO Y FAR;MIERCOLES;10;12;DOC_04;2323;56;7;15;0
FIGEMPA;MINAS;MIERCOLES;11;13;DOC_04;2323;16;7;15;0
CQ;QUIMICA;VIERNES;8;10;DOC_04;2323;46;7;15;0
CQ;BIO Y FAR;JUEVES;10;12;DOC_05;2323;49;7;15;1
CQ;BIO Y FAR;JUEVES;14;16;DOC_05;2323;45;7;15;1
CQ;BIO Y FAR;MARTES;12;14;DOC_05;2323;54;7;15;1
FIGEMPA;GEOLOGIA;MARTES;14;16;DOC_05;2323;28;7;15;1
FIGEMPA;AMBIENTAL;MIERCOLES;14;16;DOC_05;2323;12;7;15;1
FIGEMPA;AMBIENTAL;VIERNES;9;11;DOC_05;2323;25;7;15;1
IQ;I QUIMICA;MIERCOLES;11;13;DOC_13;2323;35;7;15;1
ICA;CIVIL;JUEVES;9;11;DOC_12;2323;40;7;15;1
CQ;BIO Y FAR;LUNES;11;13;DOC_06;2323;26;7;15;0
IQ;I QUIMICA;LUNES;9;11;DOC_06;2323;34;7;15;0
CQ;BIO Y FAR;MARTES;10;12;DOC_06;2323;29;7;15;0
ICA;CIVIL;MARTES;7;9;DOC_06;2323;41;7;15;0
CIENCIAS;MATEMATICA;MIERCOLES;10;12;DOC_06;2323;17;7;15;0
FIGEMPA;PETROLEOS;VIERNES;11;13;DOC_06;2323;16;7;15;0
ARQ;ARQUITECTURA;JUEVES;7;9;DOC_06;2323;36;7;15;0
ICA;CIVIL;LUNES;7;9;DOC_13;2323;20;7;15;1
IQ;I QUIMICA;JUEVES;11;13;DOC_10;2323;55;7;15;1
ICA;CIVIL;JUEVES;14;16;DOC_10;2323;40;7;15;1
ICA;CIVIL;MARTES;14;16;DOC_10;2323;34;7;15;1
ARQ;ARQUITECTURA;MIERCOLES;12;14;DOC_10;2323;46;7;15;1
ARQ;ARQUITECTURA;VIERNES;9;11;DOC_10;2323;21;7;15;1
ICA;S INFORMACION;VIERNES;14;16;DOC_10;2323;19;7;15;1
FILO;P MATEMATICA;LUNES;7;9;DOC_08;2323;47;7;15;1
FILO;P INFORMATICA;LUNES;10;12;DOC_08;2323;27;7;15;1
IQ;I QUIMICA;MARTES;9;11;DOC_08;2323;41;7;15;1
CQ;BIO Y FAR;MIERCOLES;8;10;DOC_08;2323;51;7;15;1
CQ;BIO Y FAR;MIERCOLES;10;12;DOC_08;2323;55;7;15;1
CIENCIAS;MATEMATICA;VIERNES;7;9;DOC_08;2323;26;7;15;1
FILO;MECATRONICA;LUNES;18;20;DOC_07;2323;20;12;20;0
CIENCIAS;MATEMATICA;MARTES;16;18;DOC_07;2323;16;12;20;0
CQ;BIO Y FAR;MARTES;18;20;DOC_07;2323;48;12;20;0
FILO;P MATEMATICA;MIERCOLES;15;17;DOC_07;2323;40;12;20;0
ICA;CIVIL;MIERCOLES;18;20;DOC_07;2323;37;12;20;0
FILO;MECATRONICA;VIERNES;15;17;DOC_07;2323;40;12;20;0
ICA;CIVIL;MARTES;11;13;DOC_11;2323;40;7;15;1
ICA;CIVIL;MIERCOLES;7;9;DOC_11;2323;36;7;15;1
ICA;INDUSTRIAL;LUNES;13;15;DOC_14;2323;65;12;20;0
ICA;S INFORMACION;LUNES;18;20;DOC_14;2323;9;12;20;0
FILO;P MATEMATICA;JUEVES;7;9;DOC_12;2323;38;7;15;1
FILO;P MATEMATICA;MIERCOLES;14;16;DOC_03;2323;39;10;18;1
ICA;COMPUTACION;LUNES;16;18;DOC_03;2323;37;10;18;1
FIGEMPA;GEOLOGIA;MARTES;16;18;DOC_03;2323;6;10;18;1
FILO;P MATEMATICA;MIERCOLES;15;17;DOC_03;2323;47;10;18;1
ICA;S INFORMACION;VIERNES;14;16;DOC_03;2323;45;10;18;1
ICA;COMPUTACION;VIERNES;16;18;DOC_03;2323;35;10;18;1
FILO;P MATEMATICA;LUNES;15;17;DOC_01;2323;37;12;20;0
CQ;QUIMICA;LUNES;18;20;DOC_01;2323;23;12;20;0
FILO;P MATEMATICA;MARTES;17;19;DOC_01;2323;36;12;20;0
FILO;P MATEMATICA;MARTES;16;18;DOC_01;2323;41;12;20;0
ICA;CIVIL;MIERCOLES;16;18;DOC_01;2323;35;12;20;0
FILO;P MATEMATICA;VIERNES;17;19;DOC_01;2323;34;12;20;0
FIGEMPA;MINAS;VIERNES;14;16;DOC_01;2323;9;12;20;0
ICA;CIVIL;JUEVES;9;11;DOC_11;2323;37;7;15;1
ICA;CIVIL;MIERCOLES;9;11;DOC_11;2323;32;7;15;1
FILO;P MATEMATICA;MARTES;11;13;DOC_13;2323;31;7;15;1
FILO;MECATRONICA;JUEVES;9;11;DOC_13;2323;40;7;15;1
CQ;QUIMICA;JUEVES;7;9;DOC_02;2324;61;7;15;1
ICA;INDUSTRIAL;MIERCOLES;9;11;DOC_02;2324;44;7;15;1
ARQ;ARQUITECTURA;MIERCOLES;7;9;DOC_02;2324;31;7;15;1
FIGEMPA;PETROLEOS;VIERNES;7;9;DOC_02;2324;31;7;15;1
FILO;P MATEMATICA;JUEVES;7;9;DOC_04;2324;42;7;15;0
FILO;P MATEMATICA;LUNES;7;9;DOC_04;2324;49;7;15;0
CQ;BIO Y FAR;LUNES;11;13;DOC_04;2324;18;7;15;0
FILO;P MATEMATICA;MARTES;7;9;DOC_04;2324;40;7;15;0
CQ;BIO Y FAR;MIERCOLES;8;10;DOC_04;2324;54;7;15;0
ARQ;ARQUITECTURA;VIERNES;7;9;DOC_04;2324;46;7;15;0
CQ;BIO Y FAR;JUEVES;13;15;DOC_05;2324;50;7;15;1
IQ;I QUIMICA;LUNES;9;11;DOC_05;2324;51;7;15;1
FIGEMPA;AMBIENTAL;MARTES;9;11;DOC_05;2324;17;7;15;1
CQ;BIO Y FAR;MIERCOLES;11;13;DOC_05;2324;44;7;15;1
FIGEMPA;MINAS;VIERNES;9;11;DOC_05;2324;26;7;15;1
CQ;QUIMICA;JUEVES;13;15;DOC_13;2324;22;7;15;1
ARQ;ARQUITECTURA;MIERCOLES;10;12;DOC_13;2324;55;7;15;1
AGR;AGRONOMIA;MARTES;11;13;DOC_12;2324;32;7;15;1
AGR;AGRONOMIA;VIERNES;7;9;DOC_12;2324;24;7;15;1
AGR;AGRONOMIA;LUNES;10;12;DOC_06;2324;31;7;15;0
ARQ;ARQUITECTURA;LUNES;13;15;DOC_06;2324;27;7;15;0
CIENCIAS;MATEMATICA;MIERCOLES;8;10;DOC_06;2324;39;7;15;0
CIENCIAS;MATEMATICA;MIERCOLES;12;14;DOC_06;2324;46;7;15;0
FIGEMPA;PETROLEOS;VIERNES;13;15;DOC_06;2324;28;7;15;0
CIENCIAS;MATEMATICA;JUEVES;12;14;DOC_13;2324;22;7;15;1
CQ;QUIMICA;MARTES;13;15;DOC_13;2324;52;7;15;1
FILO;P MATEMATICA;JUEVES;9;11;DOC_10;2324;46;7;15;1
IQ;I QUIMICA;LUNES;9;11;DOC_10;2324;30;7;15;1
IQ;I QUIMICA;MARTES;9;11;DOC_10;2324;42;7;15;1
ARQ;ARQUITECTURA;MARTES;11;13;DOC_10;2324;37;7;15;1
ARQ;ARQUITECTURA;MARTES;11;13;DOC_10;2324;24;7;15;1
ARQ;ARQUITECTURA;MIERCOLES;11;13;DOC_10;2324;77;7;15;1
ICA;CIVIL;LUNES;7;9;DOC_08;2324;28;7;15;1
FILO;MECATRONICA;MARTES;9;11;DOC_08;2324;40;7;15;1
FILO;P INFORMATICA;MIERCOLES;8;10;DOC_08;2324;34;7;15;1
ICA;CIVIL;JUEVES;7;9;DOC_08;2324;14;7;15;1
ARQ;ARQUITECTURA;VIERNES;11;13;DOC_08;2324;38;7;15;1
CQ;QUIMICA;JUEVES;16;18;DOC_07;2324;30;12;20;0
FILO;P MATEMATICA;JUEVES;18;20;DOC_07;2324;61;12;20;0
FILO;P MATEMATICA;LUNES;15;17;DOC_07;2324;43;12;20;0
CQ;QUIMICA;MARTES;15;17;DOC_07;2324;64;12;20;0
FIGEMPA;MINAS;VIERNES;14;16;DOC_07;2324;24;12;20;0
CIENCIAS;MATEMATICA;VIERNES;17;19;DOC_07;2324;4;12;20;0
CQ;BIO Y FAR;MARTES;13;15;DOC_11;2324;32;7;15;1
ICA;CIVIL;VIERNES;9;11;DOC_11;2324;43;7;15;1
ICA;CIVIL;LUNES;9;11;DOC_12;2324;43;7;15;1
CIENCIAS;MATEMATICA;VIERNES;7;9;DOC_12;2324;28;7;15;1
FIGEMPA;GEOLOGIA;MARTES;14;16;DOC_03;2324;32;10;18;1
FIGEMPA;GEOLOGIA;MARTES;16;18;DOC_03;2324;8;10;18;1
CQ;BIO Y FAR;MIERCOLES;10;12;DOC_03;2324;49;10;18;1
FILO;P MATEMATICA;MIERCOLES;15;17;DOC_03;2324;41;10;18;1
FILO;MECATRONICA;VIERNES;14;16;DOC_03;2324;37;10;18;1
FILO;P MATEMATICA;JUEVES;16;18;DOC_14;2324;21;12;20;0
CIENCIAS;MATEMATICA;MARTES;17;19;DOC_14;2324;4;12;20;0
ARQ;ARQUITECTURA;MARTES;15;17;DOC_14;2324;49;12;20;0
ARQ;ARQUITECTURA;MARTES;15;17;DOC_14;2324;49;12;20;0
FILO;MECATRONICA;VIERNES;17;19;DOC_14;2324;32;12;20;0
ICA;CIVIL;MARTES;7;9;DOC_11;2324;42;7;15;0
FILO;P MATEMATICA;JUEVES;11;13;DOC_01;2324;26;12;20;0
FILO;P MATEMATICA;JUEVES;15;17;DOC_01;2324;48;12;20;0
FILO;P MATEMATICA;MARTES;15;17;DOC_01;2324;56;12;20;0
FIGEMPA;MINAS;MIERCOLES;11;13;DOC_01;2324;18;12;20;0
FILO;P MATEMATICA;VIERNES;11;13;DOC_01;2324;40;12;20;0
FILO;P MATEMATICA;VIERNES;15;17;DOC_01;2324;34;12;20;0
AGR;AGRONOMIA;JUEVES;10;12;DOC_11;2324;23;7;15;1
ICA;S INFORMACION;MARTES;11;13;DOC_11;2324;37;7;15;1
FILO;P MATEMATICA;MARTES;9;11;DOC_13;2324;31;7;15;1
FILO;MECATRONICA;JUEVES;11;13;DOC_13;2324;35;7;15;1
ICA;S INFORMACION;JUEVES;9;11;DOC_02;2424;53;7;15;1
ICA;C GRAFICA;LUNES;9;11;DOC_02;2424;43;7;15;1
IQ;I QUIMICA;MARTES;9;11;DOC_02;2424;42;7;15;1
ARQ;ARQUITECTURA;MARTES;11;13;DOC_02;2424;41;7;15;1
AGR;AGRONOMIA;MIERCOLES;10;12;DOC_02;2424;28;7;15;1
ARQ;ARQUITECTURA;MARTES;11;13;DOC_02;2424;52;7;15;1
ARQ;ARQUITECTURA;VIERNES;7;9;DOC_02;2424;21;7;15;1
CQ;QUIMICA;JUEVES;11;13;DOC_04;2424;15;10;18;0
FILO;P MATEMATICA;JUEVES;14;16;DOC_04;2424;52;10;18;0
AGR;AGRONOMIA;LUNES;10;12;DOC_04;2424;33;10;18;0
ARQ;ARQUITECTURA;LUNES;16;18;DOC_04;2424;35;10;18;0
CQ;BIO Y FAR;MARTES;11;13;DOC_04;2424;55;10;18;0
FILO;P MATEMATICA;MARTES;14;16;DOC_04;2424;15;10;18;0
ICA;CIVIL;MIERCOLES;11;13;DOC_04;2424;44;10;18;0
ICA;CIVIL;MIERCOLES;14;16;DOC_04;2424;46;10;18;0
FILO;P MATEMATICA;JUEVES;7;9;DOC_09;2424;54;7;15;1
FILO;P MATEMATICA;LUNES;7;9;DOC_09;2424;38;7;15;1
CQ;QUIMICA;LUNES;9;11;DOC_09;2424;73;7;15;1
CQ;QUIMICA;MARTES;7;9;DOC_09;2424;27;7;15;1
CIENCIAS;MATEMATICA;MIERCOLES;11;13;DOC_09;2424;29;7;15;1
FILO;MECATRONICA;MIERCOLES;7;9;DOC_09;2424;61;7;15;1
FILO;P MATEMATICA;VIERNES;9;11;DOC_09;2424;45;7;15;1
FILO;P INFORMATICA;JUEVES;9;11;DOC_05;2424;23;7;15;1
FIGEMPA;MINAS;MARTES;9;11;DOC_05;2424;23;7;15;1
CQ;BIO Y FAR;MARTES;11;13;DOC_05;2424;74;7;15;1
CQ;BIOPROCESOS;MIERCOLES;9;11;DOC_05;2424;14;7;15;1
IQ;I QUIMICA;MIERCOLES;11;13;DOC_05;2424;22;7;15;1
ARQ;ARQUITECTURA;VIERNES;11;13;DOC_05;2424;24;7;15;1
FILO;P MATEMATICA;VIERNES;14;16;DOC_05;2424;47;7;15;1
CQ;BIO Y FAR;JUEVES;7;9;DOC_06;2424;44;7;15;0
ARQ;ARQUITECTURA;JUEVES;11;13;DOC_06;2424;49;7;15;0
ARQ;ARQUITECTURA;JUEVES;11;13;DOC_06;2424;43;7;15;0
ARQ;ARQUITECTURA;LUNES;7;9;DOC_06;2424;20;7;15;0
FIGEMPA;PETROLEOS;MARTES;7;9;DOC_06;2424;34;7;15;0
FIGEMPA;AMBIENTAL;MARTES;11;13;DOC_06;2424;43;7;15;0
ARQ;ARQUITECTURA;MIERCOLES;7;9;DOC_06;2424;23;7;15;0
ICA;INDUSTRIAL;MIERCOLES;9;11;DOC_06;2424;32;7;15;0
ICA;CIVIL;JUEVES;9;11;DOC_10;2424;25;7;15;1
IQ;I QUIMICA;JUEVES;11;13;DOC_10;2424;27;7;15;1
FILO;P MATEMATICA;LUNES;9;11;DOC_10;2424;51;7;15;1
FILO;P MATEMATICA;MARTES;9;11;DOC_10;2424;36;7;15;1
ICA;INDUSTRIAL;MIERCOLES;9;11;DOC_10;2424;38;7;15;1
ARQ;ARQUITECTURA;MIERCOLES;11;13;DOC_10;2424;16;7;15;1
ARQ;ARQUITECTURA;MIERCOLES;11;13;DOC_10;2424;55;7;15;1
CQ;BIO Y FAR;VIERNES;10;12;DOC_10;2424;56;7;15;1
ICA;MECANICA;LUNES;7;9;DOC_08;2424;24;7;15;1
FILO;MECATRONICA;MARTES;7;9;DOC_08;2424;31;7;15;1
AGR;AGRONOMIA;MARTES;10;12;DOC_08;2424;34;7;15;1
ARQ;ARQUITECTURA;MIERCOLES;7;9;DOC_08;2424;21;7;15;1
FILO;P MATEMATICA;JUEVES;7;9;DOC_08;2424;50;7;15;1
ARQ;ARQUITECTURA;VIERNES;7;9;DOC_08;2424;21;7;15;1
ICA;S INFORMACION;VIERNES;11;13;DOC_08;2424;40;7;15;1
CQ;QUIMICA;JUEVES;14;16;DOC_07;2424;42;12;20;0
