Facultad,Carrera,Día,H_Inicio,H_Salida,Total Estudiantes,Año_Inicio,Año_Fin,Docente_Asignado
CQ,QUIMICA,LUNES,9,11,19,2024,2025,DOC_06
FILO,P MATEMATICA,MARTES,10,12,50,2024,2025,DOC_13
CQ,QUIMICA,MIERCOLES,10,12,39,2024,2025,DOC_10
ICA,CIVIL,MIERCOLES,11,13,35,2024,2025,DOC_09
CQ,QUIMICA,MIERCOLES,11,13,35,2024,2025,DOC_12
FILO,P INFORMATICA,JUEVES,10,12,47,2024,2025,DOC_04
AGR,AGRONOMIA,JUEVES,9,11,29,2024,2025,DOC_07
AGR,AGRONOMIA,MARTES,14,16,40,2024,2025,DOC_06
ARQ,ARQUITECTURA,JUEVES,13,15,25,2024,2025,DOC_06
ARQ,ARQUITECTURA,MIERCOLES,7,9,21,2024,2025,DOC_06
IQ,I QUIMICA,MARTES,9,11,30,2024,2025,DOC_11
ICA,CIVIL,JUEVES,7,9,39,2024,2025,DOC_08
CQ,BIOPROCESOS,JUEVES,9,11,14,2024,2025,DOC_10
ARQ,ARQUITECTURA,JUEVES,10,12,27,2024,2025,DOC_05
FILO,P MATEMATICA,JUEVES,14,16,54,2024,2025,DOC_03
IQ,I QUIMICA,LUNES,9,11,21,2024,2025,DOC_11
CQ,QUIMICA,JUEVES,11,13,27,2024,2025,DOC_11
FILO,P MATEMATICA,JUEVES,7,9,32,2024,2025,DOC_10
FILO,P MATEMATICA,JUEVES,14,16,44,2024,2025,DOC_01
ICA,CIVIL,JUEVES,14,16,35,2024,2025,DOC_07
FILO,P MATEMATICA,LUNES,7,9,16,2024,2025,DOC_08
FILO,P MATEMATICA,LUNES,14,16,49,2024,2025,DOC_07
ICA,INDUSTRIAL,LUNES,14,16,42,2024,2025,DOC_14
ARQ,ARQUITECTURA,LUNES,7,9,31,2024,2025,DOC_05
AGR,AGRONOMIA,LUNES,10,12,39,2024,2025,DOC_08
ICA,CIVIL,LUNES,13,15,45,2024,2025,DOC_09
FILO,P MATEMATICA,LUNES,14,16,33,2024,2025,DOC_01
FILO,P MATEMATICA,LUNES,16,18,21,2024,2025,DOC_14
ICA,CIVIL,LUNES,11,13,45,2024,2025,DOC_12
FILO,MECATRONICA,LUNES,12,14,40,2024,2025,DOC_11
ARQ,ARQUITECTURA,LUNES,14,16,29,2024,2025,DOC_12
FIGEMPA,AMBIENTAL,MARTES,7,9,30,2024,2025,DOC_06
FIGEMPA,MINAS,LUNES,9,11,19,2024,2025,DOC_05
IQ,I QUIMICA,MARTES,13,15,45,2024,2025,DOC_09
IQ,I QUIMICA,MARTES,14,16,37,2024,2025,DOC_01
FIGEMPA,GEOLOGIA,MARTES,16,18,14,2024,2025,DOC_14
ARQ,ARQUITECTURA,MARTES,15,17,29,2024,2025,DOC_04
FILO,P MATEMATICA,MARTES,7,9,36,2024,2025,DOC_12
FIGEMPA,MINAS,MARTES,9,11,33,2024,2025,DOC_08
FIGEMPA,GEOLOGIA,MARTES,14,16,30,2024,2025,DOC_02
CIENCIAS,MATEMATICA,MARTES,17,19,16,2024,2025,DOC_04
FIGEMPA,PETROLEOS,MARTES,11,13,25,2024,2025,DOC_10
ICA,INDUSTRIAL,MARTES,7,9,48,2024,2025,DOC_08
CQ,BIO Y FAR,MARTES,11,13,48,2024,2025,DOC_07
CQ,BIO Y FAR,MARTES,11,13,43,2024,2025,DOC_03
FILO,P MATEMATICA,MARTES,14,16,37,2024,2025,DOC_10
CIENCIAS,MATEMATICA,VIERNES,7,9,43,2024,2025,DOC_09
CQ,BIOPROCESOS,MIERCOLES,9,11,15,2024,2025,DOC_03
FILO,P MATEMATICA,MIERCOLES,7,9,39,2024,2025,DOC_05
FILO,P MATEMATICA,MIERCOLES,7,9,40,2024,2025,DOC_03
ICA,INDUSTRIAL,MIERCOLES,9,11,37,2024,2025,DOC_09
AGR,AGRONOMIA,MIERCOLES,10,12,41,2024,2025,DOC_13
CQ,QUIMICA,MIERCOLES,13,15,26,2024,2025,DOC_03
CIENCIAS,MATEMATICA,MIERCOLES,17,19,19,2024,2025,DOC_14
CQ,BIO Y FAR,MIERCOLES,9,11,32,2024,2025,DOC_11
ARQ,ARQUITECTURA,MIERCOLES,13,15,22,2024,2025,DOC_02
ARQ,ARQUITECTURA,MIERCOLES,7,9,24,2024,2025,DOC_12
FIGEMPA,PETROLEOS,MIERCOLES,11,13,23,2024,2025,DOC_11
FILO,P MATEMATICA,MIERCOLES,14,16,45,2024,2025,DOC_01
FIGEMPA,AMBIENTAL,JUEVES,16,18,26,2024,2025,DOC_12
CIENCIAS,MATEMATICA,JUEVES,7,9,27,2024,2025,DOC_02
ARQ,ARQUITECTURA,LUNES,7,9,25,2024,2025,DOC_13
ICA,INDUSTRIAL,MARTES,7,9,34,2024,2025,DOC_05
AGR,AGRONOMIA,MARTES,9,11,30,2024,2025,DOC_14
AGR,AGRONOMIA,MIERCOLES,11,13,33,2024,2025,DOC_04
CQ,QUIMICA,VIERNES,9,11,32,2024,2025,DOC_11
ICA,S INFORMACION,VIERNES,12,14,39,2024,2025,DOC_13
ICA,S INFORMACION,VIERNES,12,14,9,2024,2025,DOC_09
ICA,S INFORMACION,VIERNES,7,9,42,2024,2025,DOC_10
FILO,P MATEMATICA,VIERNES,7,9,51,2024,2025,DOC_02
ARQ,ARQUITECTURA,VIERNES,10,12,27,2024,2025,DOC_06
ICA,CIVIL,VIERNES,13,15,36,2024,2025,DOC_05
CIENCIAS,MATEMATICA,VIERNES,14,16,5,2024,2025,DOC_04
ARQ,ARQUITECTURA,VIERNES,7,9,23,2024,2025,DOC_06
AGR,AGRONOMIA,VIERNES,9,11,28,2024,2025,DOC_05
FILO,MECATRONICA,VIERNES,16,18,25,2024,2025,DOC_07
ICA,CIVIL,VIERNES,9,11,39,2024,2025,DOC_02
CQ,BIO Y FAR,VIERNES,7,9,53,2024,2025,DOC_13
FILO,P MATEMATICA,VIERNES,11,13,47,2024,2025,DOC_04
ARQ,ARQUITECTURA,VIERNES,13,15,24,2024,2025,DOC_07
AGR,AGRONOMIA,VIERNES,11,13,26,2024,2025,DOC_02
FILO,MECATRONICA,VIERNES,14,16,61,2024,2025,DOC_14
